ID,TrieuChung,ChuanDoan,ChuyenKhoa,LoiKhuyen
3,"cảm giác nóng rát cồn cào và đau ở vùng bụng trên, rốn, Đầy hơi khó tiêu, Ợ hơi,  ợ chua hoặc trào dạ dày, Cơ thể mệt mỏi suy nhược, Đi cầu phân đen, máu","Viêm loét dạ dày","Tiêu hóa","Bạn xây dựng chế độ ăn uống và sinh hoạt khoa học hơn, bổ sung các loại thực phẩm trong khẩu phần hàng ngày của mình như Trái cây và rau quả Chất xơ Vitamin C Kẽm, hình thành các thói quen sau cũng giúp ích cho việc ngăn ngừa viêm loét dạ dày"
4,"Cảm giác căng tức đau khó chịu ở vùng bụng, Bụng sưng to hơn bình thường, Bụng phát ra tiếng kêu bất thường, Xì hơi nhiều hơn bình thường","Chướng bụng đầy hơi","Tiêu hóa","Bạn nên thay đổi lối sống và chế độ ăn uống, Uống nhiều nước hơn,Ngưng ăn thực phẩm gây đầy hơi, Ăn chậm nhai kỹ, Tập thể dục thường xuyên, Giảm hàm lượng Natri trong chế độ ăn uống"
5,"Đại tiện khó phải rặn nhiều, phân cứng tỏn mỏn, chướng bụng sờ thấy bụng cứng","Táo bón","Tiêu hóa","Bạn nên uống đủ 2 lít nước mỗi ngày, duy trì một chế độ ăn giàu chất xơ bao gồm tăng cường rau xanh trái cây và ngũ cốc nguyên cám, hạn chế các ăn các thực phẩm không lành mạnh như thực phẩm giàu chất béo có nguồn gốc động vật đồ ăn công nghiệp, Không ngồi bồn cầu quá lâu, không rặn khi đại tiện,"
6,"đau gốc ngón tay khi cầm nắm,  ngón tay  biến dạng, sưng cứng gốc ngón tay,cầm nắm tầm vận động động yếu, khớp ở gốc ngón tay to ra hay nhìn thấy cục xương","Viêm khớp ngón tay","Cơ xương khớp","Bạn cần thường xuyên thực hiện các bài vận động vừa sức, dành thời gian nghỉ ngơi khi làm việc bằng bàn tay quá nhiều,chú ý việc giữ ấm cơ thể nhằm giảm bớt tình trạng đau cứng khớp, Khi bị cứng khớp ngón tay người bệnh có thể xoa bóp nhẹ nhàng hay dùng gel kháng viêm để cải thiện tình trạng này,nên bổ sung vào thực đơn ăn uống những nhóm thực phẩm giàu canxi sắt kẽm selen vitamin khoáng chất"
7,"Cơn đau dữ dội tại các khớp, nhất là vào buổi đêm, Tại các khớp có biểu hiện viêm, sưng đỏ, cảm giác nóng ở khớp và chạm vào sẽ thấy đau 
","Bệnh gút","Cơ xương khớp","Bạn nên thực hiện đúng theo hướng dẫn, chỉ định của bác sĩ, đặc biệt không được tự ý dùng thuốc hay bỏ thuốc đã kê toa, Tái khám theo lịch hẹn để kiểm soát tình trạng bệnh và xử lý những vấn đề bất thường kịp thời, Chữa trị dứt điểm các bệnh lý là nguyên nhân gây bệnh: bệnh lý chuyển hóa,…"
8,"Đau nhức khớp chân, cứng khớp chân, biến dạng khớp chân, khó cử động khớp chân","Viêm khớp ngón chân","Cơ xương khớp","Bạn có thể dùng thuốc theo hướng dẫn của bác sĩ để giúp cải thiện tình trạng đau và sưng tấy ở khớp. Ngoài ra, bạn có thể thực hiện những bài tập thể dục nhẹ để cải thiện sức khỏe xương khớp, nên bổ sung những thực phẩm chứa lượng canxi và vitamin D dồi dào, giúp làm chậm quá trình lão hóa xương. Bên cạnh đó, bạn nên bổ sung vào thực đơn những nhóm hoa quả như cam, quýt, xoài… và nhóm thực phẩm giàu omega-3 (các loại cá béo như cá thu, cá hồi, cá ngừ…)."
9,"Đau nhức các khớp, cơn đau thường âm ỉ và biến mất khi người bệnh không hoạt động, Cứng khớp, xuất hiện tiếng khớp kêu khi di chuyển,Thoái hóa khớp kéo dài thường dẫn đến tình trạng sưng tấy làm biến dạng các khớp và vùng cơ xung quanh khớp","Thoái hóa khớp","Cơ xương khớp","Bạn nên kiểm soát trọng lượng,Rèn luyện sức khỏe từ việc tập luyện thể dục,Tránh chấn thương,Ăn uống khoa học và bổ sung Axit béo omega-3, vitamin D, ăn nhiều rau xanh, trái cây và hạn chế đồ chế biến nhiệt độ cao"
10,"vận động khó khăn và cảm giác như các đầu xương cọ vào nhau lạo xạo, khó cử động các khớp thường xuất hiện ở các đốt ngón tay gần bàn ngón tay cổ tay khuỷu gối cổ chân bàn ngón chân,","Cứng khớp","Cơ xương khớp","Bạn cần kết hợp tập thể dục hàng ngày để ổn định sức khỏe và loại bỏ biến chứng từ cứng khớp, Thường xuyên tập luyện thể dục thể thao tăng sức khỏe cơ bắp và xương khớp như các bài tập tăng cường các bài tập phạm vi chuyển động các bài tập aerobic bài tập thăng bằng,bổ sung các thức ăn giàu canxi vitamin D collagen, Chú ý tư thế ngủ góp phần làm tăng tuổi thọ của khớp xương như nằm nghiêng nằm ngửa,ắm nước nóng thúc đẩy tuần hoàn máu và giảm co thắt cơ bắp,"
11,"Bị co cứng hay co giật ở một phần của cơ thể mắt và mũi,  tâm trạng lo lắng và sợ sệt, cảm giác chóng mặt và khó chịu , gần như mất nhận thức. mặt đờ đẫn, lú lẫn, co cứng – co giật toàn thể","Động kinh","Thần kinh","Bạn nên bổ sung nhiều chất xơ phòng tránh động kinh,nên uống từ 2-3 lít nước/ ngày sẽ giúp cải thiện tình trạng co run chân tay khí huyết lưu thông tốt phòng ngừa nguy cơ gây ra bệnh động kinh,Không nên sử dụng các chất kích thích,Tránh đứng hoặc ngồi quá lâu 1 tư thế để giảm nguy cơ mắc bệnh động kinh"
12,"Lực giảm sút hoa mắt, Chóng mặt người mất thăng bằng không thể đứng vững, Đau đầu Buồn nôn nôn ói","Đột quỵ","Thần kinh","Bạn nên tập thể dục thường xuyên tối thiểu 30 phút/lần tập và duy trì 3-4 lần/tuần để tăng cường sức khỏe bản thân,Có chế độ ăn uống hợp lý, không dùng nhiều đồ chiên xào thức ăn nhanh đồ dầu mỡ nhiều cholesterol và chất béo,Ăn nhiều rau xanh trái cây thịt trắng hải sản trứng ngũ cốc và các loại đậu,Không thức khuya ngủ đúng giờ ngủ đủ giấc và chú ý đến chất lượng giấc ngủ,Không sử dụng các chất kích thích,Hạn chế tắm đêm,Kiểm tra sức khỏe định kỳ tầm soát đột quỵ đặc biệt là lượng cholesterol và huyết áp tim mạch tiểu đường"
